,affiliate,date,employer,localization,title,topic,url
105,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine Saint-Denis (93),Agent Cellule Agréments H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/agent-cellule-agrements-hf-reference-ARSIF_2019-217
106,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine Saint-Denis (93),CDD Archiviste  - Service des soins psychiatriques sans consentement H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/cdd-archiviste----service-des-soins-psychiatriques-sans-consentement-hf-reference-ARSIF_2019-218
107,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Conseiller médical - politiques en faveur des personnes âgées H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/conseiller-medical---politiques-en-faveur-des-personnes-agees-hf-reference-ARSIF_2019-219
108,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Archiviste – Records manager H/F,-,https://www.place-emploi-public.gouv.fr/offre-emploi/archiviste--records-manager-hf-reference-ARSIF_2019-163
109,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé de mission paie H/F,Ressources humaines,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-mission-paie-hf-reference-ARSIF_2019-168
110,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé des effectifs et de la masse salariale H/F,-,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-des-effectifs-et-de-la-masse-salariale-hf-reference-ARSIF_2019-169
111,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine et Marne (77),Animatrice territoriale/Animateur territorial de santé publique H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/animatrice-territorialeanimateur-territorial-de-sante-publique-hf-reference-ARSIF_2019-216
112,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Apprenti mission développement compétences psychosociales et prévention précoce H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/apprenti-mission-developpement-competences-psychosociales-et-prevention-precoce-hf-reference-ARSIF_2019-195
113,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé de mission - Santé du jeune enfant H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-mission---sante-du-jeune-enfant-hf-reference-ARSIF_2019-215
114,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Yvelines (78),Technicien sanitaire et de surveillance sanitaire H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/technicien-sanitaire-et-de-surveillance-sanitaire-hf-reference-ARSIF_2019-214
115,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Yvelines (78),Technicien sanitaire et de surveillance sanitaire H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/technicien-sanitaire-et-de-surveillance-sanitaire-hf-reference-ARSIF_2019-213
116,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Ingénieur sécurité numérique H/F,Numérique • Systèmes d’information et de communication,https://www.place-emploi-public.gouv.fr/offre-emploi/ingenieur-securite-numerique-hf-reference-ARSIF_2019-155
117,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine et Marne (77),Chargé de la sécurisation de l'alimentation en eau potable H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-la-securisation-de-l-alimentation-en-eau-potable-hf-reference-ARSIF_2019-212
118,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Stagiaire Records manager / Chargé d'étude en documentation et gestion de l'information H/F,Technique • Logistique • Maintenance,https://www.place-emploi-public.gouv.fr/offre-emploi/stagiaire-records-manager--charge-d-etude-en-documentation-et-gestion-de-l-information-hf-reference-ARSIF_2019-181
119,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé de mission Parcours de Santé de la Personne agée (Apprentissage) H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-mission-parcours-de-sante-de-la-personne-agee-apprentissage-hf-reference-ARSIF_2019-210
120,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé de mission Personnes Handicapées (Apprentissage) H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-mission-personnes-handicapees-apprentissage-hf-reference-ARSIF_2019-211
121,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé de mission Biologie médicale H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-mission-biologie-medicale-hf-reference-ARSIF_2019-208
122,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Gestionnaire des Laboratoires de Biologie Médicale à la Direction de l'Offre de Soins H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/gestionnaire-des-laboratoires-de-biologie-medicale-a-la-direction-de-l-offre-de-soins-hf-reference-ARSIF_2019-207
123,Territoriale,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine Saint-Denis (93),Technicien Sanitaire et de Sécurité Sanitaire Environnement Intérieur Insalubrité et Saturnisme H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/technicien-sanitaire-et-de-securite-sanitaire-environnement-interieur-insalubrite-et-saturnisme-hf-reference-ARSIF_2019-175
124,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé de mission stratégie nationale autisme au sein des troubles du neuro-développement (TND) H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-mission-strategie-nationale-autisme-au-sein-des-troubles-du-neuro-developpement-tnd-hf-reference-ARSIF_2019-199
125,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé(e) de mission : Transformation de l'offre médico-sociale Handicap H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/chargee-de-mission--transformation-de-l-offre-medico-sociale-handicap-hf-reference-ARSIF_2019-200
126,Hospitalière,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),CHARGE(E) DE MISSION TECHNIQUE ET PÉDAGOGIQUE - PROFESSIONNELS PARAMÉDICAUX H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/chargee-de-mission-technique-et-pdagogique---professionnels-paramdicaux-hf-reference-ARSIF_2019-206
127,État,26 Juin. 19,Agence régionale de santé Ile-de-France,Paris (75),Chargé de mission Contractualisation/analyse financière- secteur personne âgée H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/charge-de-mission-contractualisationanalyse-financiere--secteur-personne-agee-hf-reference-ARSIF_2019-198
128,Territoriale,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine Saint-Denis (93),Responsable de la Cellule Environnement Intérieur H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-de-la-cellule-environnement-interieur-hf-reference-ARSIF_2019-204
129,Territoriale,26 Juin. 19,Agence régionale de santé Ile-de-France,Seine Saint-Denis (93),Responsable de la Cellule Environnement Intérieur H/F,Affaires sociales et santé,https://www.place-emploi-public.gouv.fr/offre-emploi/responsable-de-la-cellule-environnement-interieur-hf-reference-ARSIF_2019-205
